awards,budget,openingwknd,metacritic,locs,release_date,gross,nudity_score,violence_score,profanity_score,alcohol_score,frightening_score,year,month,cci,sequel
15.0,18125904.48625181,11851069.204052098,78.0,18.0,2007-05-11,34607083.733719245,3,35,2,1,6,2007,"(5, 2007)",100.0947,1
13.0,38668596.2373372,19276176.80173661,53.0,6.0,2007-10-19,47814922.80752533,2,18,1,3,4,2007,"(10, 2007)",99.26588000000001,0
4.0,48335745.29667149,11498608.574529665,29.0,7.0,2007-12-25,50507308.4081042,3,7,1,2,4,2007,"(12, 2007)",98.81931999999999,1
22.0,64044862.51808973,14013273.306801734,77.0,12.0,2007-04-06,30247345.723589007,19,14,1,1,1,2007,"(4, 2007)",100.1541,0
1.0,73464290.88277858,13896526.772793053,31.0,2.0,2007-04-13,28983259.64544139,5,5,1,3,4,2007,"(4, 2007)",100.1541,0
1.0,48335745.29667149,12114391.468885673,36.0,7.0,2007-04-05,30351824.64544139,2,40,1,2,5,2007,"(4, 2007)",100.1541,0
3.0,19334298.1186686,17779483.408104196,34.0,3.0,2007-02-02,42746722.94500724,1,6,1,1,2,2007,"(2, 2007)",100.5926,0
17.0,21751085.38350217,10793339.29811867,58.0,5.0,2007-11-21,30927330.57163531,2,26,1,1,3,2007,"(11, 2007)",98.98473,0
7.0,4339749.759384023,3064345.5245428295,76.0,15.0,1984-11-16,61490668.97497594,9,9,4,1,6,1984,"(11, 1984)",101.0461,0
2.0,6268527.430221368,26962257.69008662,33.0,9.0,1984-04-13,79513859.48026949,6,15,3,3,4,1984,"(4, 1984)",101.29799999999999,1
1.0,6984200.743494424,6671017.541821563,43.0,7.0,1985-11-01,69840175.24628253,8,13,1,3,4,1985,"(11, 1985)",100.5402,1
9.0,20952602.23048327,14244377.523234202,71.0,2.0,1985-08-02,58020635.39498141,3,6,2,1,1,1985,"(8, 1985)",100.6807,0
1.0,75280923.34494774,17791363.18379791,42.0,4.0,2012-06-22,40934426.478658535,3,10,1,4,1,2012,"(6, 2012)",98.60139000000001,0
60.0,42550087.108013935,12451042.4934669,74.0,0.0,2012-10-05,38503538.91114982,1,13,2,1,3,2012,"(10, 2012)",99.23647,0
4.0,7528092.334494772,13405714.795296164,31.0,5.0,2012-09-21,34489481.52439024,4,20,1,6,5,2012,"(9, 2012)",99.01172,0
7.0,70916811.84668991,22968566.47865853,39.0,5.0,2012-09-14,46200154.68423345,6,34,3,3,4,2012,"(9, 2012)",99.01172,1
53.0,32730836.2369338,16085693.845818816,72.0,4.0,2012-04-13,45903117.98127177,6,7,1,8,3,2012,"(4, 2012)",98.85928,0
